18 Sep 2024 - 09:08:23.618 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 17212 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
18 Sep 2024 - 09:08:23.671 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
18 Sep 2024 - 09:08:25.613 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18 Sep 2024 - 09:08:25.726 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 103 ms. Found 6 JPA repository interfaces.
18 Sep 2024 - 09:08:26.532 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
18 Sep 2024 - 09:08:26.552 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18 Sep 2024 - 09:08:26.553 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
18 Sep 2024 - 09:08:26.822 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18 Sep 2024 - 09:08:26.823 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3016 ms
18 Sep 2024 - 09:08:27.003 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18 Sep 2024 - 09:08:27.095 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
18 Sep 2024 - 09:08:27.170 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
18 Sep 2024 - 09:08:27.623 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
18 Sep 2024 - 09:08:27.664 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18 Sep 2024 - 09:08:27.904 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4e5d5ac1
